[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
,,[mm],[mm],[mm],[deg],[deg],[mm],[mm]
0,AxialGradioMeter,77.48,91.71,-58.68,97.31,58.10,15.50,50.00
1,AxialGradioMeter,56.28,105.15,-50.77,93.99,65.04,15.50,50.00
2,AxialGradioMeter,35.81,115.02,-43.79,87.09,73.23,15.50,50.00
3,AxialGradioMeter,10.68,120.84,-42.69,84.97,83.73,15.50,50.00
4,AxialGradioMeter,-18.56,119.97,-40.68,83.68,96.60,15.50,50.00
5,AxialGradioMeter,-43.24,114.67,-39.27,84.49,106.51,15.50,50.00
6,AxialGradioMeter,-63.44,103.22,-43.81,90.91,114.27,15.50,50.00
7,AxialGradioMeter,-84.75,89.73,-46.47,91.68,126.94,15.50,50.00
8,AxialGradioMeter,-103.47,71.54,-44.68,91.48,138.82,15.50,50.00
9,AxialGradioMeter,-117.79,50.30,-42.75,90.97,152.52,15.50,50.00
10,AxialGradioMeter,-119.79,-5.42,57.87,72.35,184.31,15.50,50.00
11,AxialGradioMeter,-127.60,7.09,-39.99,90.53,178.08,15.50,50.00
12,AxialGradioMeter,-127.67,-14.88,-40.66,89.67,191.27,15.50,50.00
13,AxialGradioMeter,-127.49,-18.32,17.46,84.54,192.76,15.50,50.00
14,AxialGradioMeter,-111.62,-59.78,-46.71,93.47,218.37,15.50,50.00
15,AxialGradioMeter,-94.80,-78.88,-49.19,94.87,230.15,15.50,50.00
16,AxialGradioMeter,-74.15,-93.18,-47.08,93.20,241.46,15.50,50.00
17,AxialGradioMeter,-55.90,-105.52,-44.53,89.23,247.18,15.50,50.00
18,AxialGradioMeter,-34.20,-115.14,-44.97,85.65,255.43,15.50,50.00
19,AxialGradioMeter,-9.83,-123.20,-44.98,85.00,265.11,15.50,50.00
20,AxialGradioMeter,17.77,-121.17,-48.15,86.89,277.53,15.50,50.00
21,AxialGradioMeter,40.33,-109.33,-51.46,92.10,286.38,15.50,50.00
22,AxialGradioMeter,58.32,-98.79,-55.70,96.21,294.14,15.50,50.00
23,AxialGradioMeter,78.94,-87.27,-56.84,95.59,300.79,15.50,50.00
24,AxialGradioMeter,84.69,-85.41,-30.82,95.54,304.24,15.50,50.00
25,AxialGradioMeter,-40.40,-69.31,107.99,49.10,245.26,15.50,50.00
26,AxialGradioMeter,17.12,-119.43,-18.13,84.69,275.29,15.50,50.00
27,AxialGradioMeter,-4.56,-118.70,-15.56,83.22,269.24,15.50,50.00
28,AxialGradioMeter,-55.09,-108.85,-17.95,88.13,247.15,15.50,50.00
29,AxialGradioMeter,-72.28,-30.09,115.40,39.26,209.56,15.50,50.00
30,AxialGradioMeter,-92.42,-79.87,-21.14,96.08,231.19,15.50,50.00
31,AxialGradioMeter,-76.87,-5.15,117.02,36.33,183.74,15.50,50.00
32,AxialGradioMeter,-131.13,-16.26,-12.63,90.14,190.78,15.50,50.00
33,AxialGradioMeter,-132.20,9.78,-10.64,88.63,174.61,15.50,50.00
34,AxialGradioMeter,-114.90,55.51,-11.51,89.50,147.25,15.50,50.00
35,AxialGradioMeter,-72.38,17.32,117.04,35.49,164.56,15.50,50.00
36,AxialGradioMeter,-80.92,90.85,-21.21,97.78,125.55,15.50,50.00
37,AxialGradioMeter,-59.79,103.81,-10.02,84.23,114.49,15.50,50.00
38,AxialGradioMeter,-10.97,118.58,-14.41,84.23,93.56,15.50,50.00
39,AxialGradioMeter,14.43,118.19,-16.67,85.09,83.49,15.50,50.00
40,AxialGradioMeter,-46.75,56.59,114.66,40.94,124.37,15.50,50.00
41,AxialGradioMeter,80.48,89.58,-32.43,99.74,55.08,15.50,50.00
42,AxialGradioMeter,85.09,89.16,2.95,87.85,52.89,15.50,50.00
43,AxialGradioMeter,63.82,101.72,3.37,90.42,63.53,15.50,50.00
44,AxialGradioMeter,40.57,111.80,4.88,88.60,74.09,15.50,50.00
45,AxialGradioMeter,-24.62,70.97,113.86,42.88,111.21,15.50,50.00
46,AxialGradioMeter,-35.02,112.97,9.21,88.46,102.04,15.50,50.00
47,AxialGradioMeter,-58.75,104.00,11.18,85.76,113.35,15.50,50.00
48,AxialGradioMeter,-79.84,91.10,15.85,84.81,124.79,15.50,50.00
49,AxialGradioMeter,-113.08,55.32,17.96,84.85,150.71,15.50,50.00
50,AxialGradioMeter,-123.85,32.75,18.26,84.16,160.89,15.50,50.00
51,AxialGradioMeter,-129.19,7.06,18.27,85.71,175.89,15.50,50.00
52,AxialGradioMeter,38.09,73.33,107.91,47.42,65.83,15.50,50.00
53,AxialGradioMeter,-120.59,-43.02,15.35,86.61,206.32,15.50,50.00
54,AxialGradioMeter,-107.44,-64.99,13.44,86.69,219.65,15.50,50.00
55,AxialGradioMeter,-72.77,-94.31,8.57,89.87,238.40,15.50,50.00
56,AxialGradioMeter,-52.14,-110.56,7.46,90.02,247.64,15.50,50.00
57,AxialGradioMeter,-21.42,-117.21,3.99,89.68,265.00,15.50,50.00
58,AxialGradioMeter,75.13,41.73,106.72,44.41,35.31,15.50,50.00
59,AxialGradioMeter,47.29,-113.28,0.08,91.41,288.47,15.50,50.00
60,AxialGradioMeter,70.83,-97.76,-1.33,92.65,298.60,15.50,50.00
61,AxialGradioMeter,88.25,-85.36,-2.63,93.95,306.29,15.50,50.00
62,AxialGradioMeter,89.21,-83.32,21.18,86.71,307.04,15.50,50.00
63,AxialGradioMeter,71.36,-97.09,19.73,87.98,299.81,15.50,50.00
64,AxialGradioMeter,64.70,27.68,119.12,34.80,28.14,15.50,50.00
65,AxialGradioMeter,22.34,-118.48,21.82,89.76,275.56,15.50,50.00
66,AxialGradioMeter,-0.29,-117.97,20.71,91.07,268.35,15.50,50.00
67,AxialGradioMeter,51.04,46.90,120.42,38.17,49.96,15.50,50.00
68,AxialGradioMeter,-70.71,-94.17,31.25,83.81,239.16,15.50,50.00
69,AxialGradioMeter,-88.51,-80.25,35.76,82.15,231.81,15.50,50.00
70,AxialGradioMeter,-105.28,-61.85,37.16,81.32,219.16,15.50,50.00
71,AxialGradioMeter,2.41,61.68,125.77,37.33,89.65,15.50,50.00
72,AxialGradioMeter,-123.45,-16.80,38.44,80.94,191.94,15.50,50.00
73,AxialGradioMeter,-25.83,53.32,126.16,32.89,109.84,15.50,50.00
74,AxialGradioMeter,-120.30,30.25,39.94,78.99,161.86,15.50,50.00
75,AxialGradioMeter,-111.05,51.63,40.96,78.03,150.50,15.50,50.00
76,AxialGradioMeter,-95.94,72.67,40.49,77.30,136.03,15.50,50.00
77,AxialGradioMeter,-76.96,90.47,38.31,78.37,123.57,15.50,50.00
78,AxialGradioMeter,-55.73,16.51,129.05,27.86,161.90,15.50,50.00
79,AxialGradioMeter,-5.70,116.21,30.63,82.49,94.39,15.50,50.00
80,AxialGradioMeter,19.26,115.15,29.59,84.46,83.03,15.50,50.00
81,AxialGradioMeter,-54.06,-28.04,124.58,33.32,215.77,15.50,50.00
82,AxialGradioMeter,66.91,99.00,26.48,84.62,61.09,15.50,50.00
83,AxialGradioMeter,87.48,86.02,27.91,82.07,52.33,15.50,50.00
84,AxialGradioMeter,81.94,83.88,51.40,73.56,51.91,15.50,50.00
85,AxialGradioMeter,41.23,106.51,50.89,76.00,72.86,15.50,50.00
86,AxialGradioMeter,-21.79,-63.13,120.35,43.27,252.65,15.50,50.00
87,AxialGradioMeter,-35.70,106.70,54.09,74.99,105.88,15.50,50.00
88,AxialGradioMeter,-59.54,96.81,57.11,73.43,116.69,15.50,50.00
89,AxialGradioMeter,6.35,-69.44,118.58,45.60,273.67,15.50,50.00
90,AxialGradioMeter,-80.24,81.70,59.28,71.07,127.49,15.50,50.00
91,AxialGradioMeter,-117.94,18.29,58.88,71.19,169.10,15.50,50.00
92,AxialGradioMeter,53.15,-49.61,116.71,42.18,306.03,15.50,50.00
93,AxialGradioMeter,-115.74,-30.06,57.03,73.50,199.47,15.50,50.00
94,AxialGradioMeter,-92.73,-70.60,54.64,74.53,225.90,15.50,50.00
95,AxialGradioMeter,65.29,-31.85,116.79,37.40,322.80,15.50,50.00
96,AxialGradioMeter,-54.80,-99.61,49.47,77.29,247.57,15.50,50.00
97,AxialGradioMeter,-31.41,-112.06,49.83,77.27,257.77,15.50,50.00
98,AxialGradioMeter,72.19,8.11,118.18,34.42,7.67,15.50,50.00
99,AxialGradioMeter,43.48,-108.39,44.39,79.58,286.69,15.50,50.00
100,AxialGradioMeter,82.93,-84.60,46.01,76.55,303.38,15.50,50.00
101,AxialGradioMeter,100.65,-70.04,44.65,78.71,312.68,15.50,50.00
102,AxialGradioMeter,116.09,-50.89,45.34,78.03,326.12,15.50,50.00
103,AxialGradioMeter,126.15,-26.48,46.13,76.63,341.01,15.50,50.00
104,AxialGradioMeter,130.77,0.55,47.11,75.20,0.54,15.50,50.00
105,AxialGradioMeter,126.00,27.34,47.03,75.87,16.56,15.50,50.00
106,AxialGradioMeter,115.57,49.65,48.86,75.56,29.47,15.50,50.00
107,AxialGradioMeter,101.18,68.11,48.71,74.98,41.82,15.50,50.00
108,AxialGradioMeter,89.61,67.58,71.22,64.90,44.67,15.50,50.00
109,AxialGradioMeter,54.79,6.70,128.78,25.89,4.39,15.50,50.00
110,AxialGradioMeter,86.50,19.28,108.47,42.69,13.24,15.50,50.00
111,AxialGradioMeter,121.65,-0.17,70.06,65.53,358.60,15.50,50.00
112,AxialGradioMeter,117.18,-27.51,69.17,66.62,339.63,15.50,50.00
113,AxialGradioMeter,54.03,-15.06,127.99,26.14,335.96,15.50,50.00
114,AxialGradioMeter,91.70,-69.21,66.57,69.73,311.37,15.50,50.00
115,AxialGradioMeter,20.37,-48.71,131.09,33.12,284.84,15.50,50.00
116,AxialGradioMeter,54.40,-94.98,65.60,70.88,291.34,15.50,50.00
117,AxialGradioMeter,34.32,-103.09,65.59,70.80,285.53,15.50,50.00
118,AxialGradioMeter,10.23,-105.39,68.36,68.80,273.64,15.50,50.00
119,AxialGradioMeter,-17.04,-103.96,69.15,68.37,261.41,15.50,50.00
120,AxialGradioMeter,-31.26,-30.03,135.36,25.34,232.85,15.50,50.00
121,AxialGradioMeter,-80.50,-72.42,75.32,66.22,232.65,15.50,50.00
122,AxialGradioMeter,-94.45,-55.06,77.76,64.18,218.31,15.50,50.00
123,AxialGradioMeter,-105.34,-34.54,79.14,63.10,205.92,15.50,50.00
124,AxialGradioMeter,-110.81,-11.75,80.62,61.63,191.64,15.50,50.00
125,AxialGradioMeter,-38.85,-4.54,136.36,18.86,192.00,15.50,50.00
126,AxialGradioMeter,-102.44,34.05,84.97,57.42,158.26,15.50,50.00
127,AxialGradioMeter,-87.74,57.79,83.19,59.23,139.88,15.50,50.00
128,AxialGradioMeter,-33.50,21.87,137.26,21.54,143.63,15.50,50.00
129,AxialGradioMeter,-27.30,100.59,77.06,64.20,103.67,15.50,50.00
130,AxialGradioMeter,2.71,103.33,74.00,65.22,88.24,15.50,50.00
131,AxialGradioMeter,29.96,101.22,72.45,66.67,76.20,15.50,50.00
132,AxialGradioMeter,52.42,93.93,71.82,66.52,66.70,15.50,50.00
133,AxialGradioMeter,19.95,40.88,135.47,25.58,69.64,15.50,50.00
134,AxialGradioMeter,64.82,75.19,90.09,56.32,58.50,15.50,50.00
135,AxialGradioMeter,45.97,85.46,90.00,56.24,66.17,15.50,50.00
136,AxialGradioMeter,-7.71,92.02,94.69,56.26,96.28,15.50,50.00
137,AxialGradioMeter,-54.67,73.44,98.20,52.63,122.60,15.50,50.00
138,AxialGradioMeter,-71.59,56.36,101.72,48.24,135.31,15.50,50.00
139,AxialGradioMeter,26.56,18.62,140.83,17.20,38.57,15.50,50.00
140,AxialGradioMeter,-92.22,16.12,102.62,48.07,167.86,15.50,50.00
141,AxialGradioMeter,-90.55,-32.33,100.28,49.69,206.00,15.50,50.00
142,AxialGradioMeter,-1.11,18.61,144.80,10.16,93.16,15.50,50.00
143,AxialGradioMeter,-67.28,-69.80,93.37,58.23,236.68,15.50,50.00
144,AxialGradioMeter,-48.69,-81.91,91.19,59.51,245.75,15.50,50.00
145,AxialGradioMeter,-4.33,-95.55,85.83,62.42,267.52,15.50,50.00
146,AxialGradioMeter,-0.90,-27.57,142.88,17.34,267.09,15.50,50.00
